,bhk,type,area,region,status,age,price_in_lakh,price_per_sqft
32606,3,Apartment,1053,Powai,Ready to move,New,229.99999999999997,21842.355175688506
32607,1,Studio Apartment,450,Thane West,Ready to move,Resale,40.0,8888.888888888889
32608,3,Apartment,1222,Thane West,Ready to move,Resale,151.0,12356.792144026187
32609,1,Apartment,550,Thane West,Ready to move,Resale,60.0,10909.09090909091
32610,1,Apartment,595,Bhandup East,Ready to move,Resale,95.0,15966.38655462185
32611,1,Apartment,550,Malad West,Ready to move,New,107.0,19454.545454545456
32612,3,Apartment,1000,Malad West,Ready to move,New,202.0,20200.0
32613,2,Apartment,732,Mulund West,Ready to move,Resale,186.0,25409.83606557377
32614,2,Apartment,735,Mulund West,Ready to move,Resale,185.0,25170.068027210884
32615,1,Apartment,600,Bhandup West,Ready to move,Resale,72.0,12000.0
32616,1,Apartment,510,Bhandup West,Ready to move,New,78.0,15294.117647058823
32617,2,Apartment,850,Ville Parle East,Ready to move,Resale,220.00000000000003,25882.352941176476
32618,1,Apartment,379,Bhandup West,Ready to move,Resale,85.0,22427.440633245384
32619,1,Apartment,481,Bhandup West,Under Construction,New,98.0,20374.220374220375
32624,1,Apartment,560,Thane West,Ready to move,Resale,47.0,8392.857142857143
32626,1,Apartment,520,Thane West,Ready to move,Resale,46.0,8846.153846153846
32627,3,Apartment,1035,Wadala,Under Construction,New,336.0,32463.768115942028
32628,4,Apartment,1526,Wadala,Under Construction,New,486.00000000000006,31847.968545216256
32629,4,Apartment,1577,Wadala,Under Construction,New,503.0,31896.00507292327
32630,4,Apartment,1372,Wadala,Under Construction,New,396.0,28862.973760932946
32631,2,Apartment,631,Malad West,Under Construction,New,157.0,24881.141045958797
32632,3,Apartment,1063,Malad West,Under Construction,New,265.0,24929.44496707432
32634,2,Apartment,837,Jogeshwari West,Ready to move,New,143.0,17084.826762246117
32638,3,Apartment,1289,Borivali West,Under Construction,New,227.0,17610.55081458495
32639,2,Apartment,818,Kandivali West,Under Construction,New,125.0,15281.17359413203
32643,1,Apartment,535,Mira Road East,Under Construction,New,56.84,10624.29906542056
32645,2,Apartment,745,Mira Road East,Under Construction,New,79.2,10630.872483221476
32650,2,Apartment,701,Kandivali West,Under Construction,New,99.0,14122.681883024252
32652,2,Apartment,800,Kandivali East,Under Construction,New,151.0,18875.0
32653,1,Apartment,494,Borivali East,Ready to move,New,88.0,17813.765182186235
32654,2,Apartment,804,Borivali East,Ready to move,New,145.0,18034.825870646768
32656,1,Apartment,566,Borivali East,Ready to move,New,110.00000000000001,19434.628975265023
32657,1,Apartment,494,Kandivali East,Ready to move,New,75.0,15182.186234817813
32658,2,Apartment,800,Thane West,Ready to move,Resale,74.0,9250.0
32659,2,Apartment,775,Thane West,Ready to move,Resale,69.0,8903.225806451614
32660,2,Apartment,900,Thane West,Ready to move,Resale,92.0,10222.222222222223
32662,3,Apartment,1168,Goregaon East,Under Construction,New,259.0,22174.657534246577
32663,2,Apartment,855,Goregaon East,Under Construction,New,185.0,21637.426900584796
32664,2,Apartment,644,Goregaon East,Under Construction,New,138.0,21428.571428571428
32666,2,Apartment,800,Malad West,Ready to move,New,141.0,17625.0
32667,2,Apartment,750,Malad West,Ready to move,New,143.0,19066.666666666668
32669,2,Apartment,850,Goregaon East,Ready to move,New,123.0,14470.588235294117
32670,3,Apartment,1185,Andheri West,Ready to move,Resale,229.99999999999997,19409.282700421936
32679,2,Apartment,800,Thane West,Ready to move,Resale,77.0,9625.0
32683,2,Apartment,850,Andheri West,Ready to move,Resale,175.0,20588.235294117647
32686,2,Apartment,872,Kandivali East,Under Construction,New,126.0,14449.54128440367
32687,3,Apartment,1150,Malad East,Ready to move,Resale,300.0,26086.956521739132
32689,2,Apartment,722,Andheri East,Under Construction,New,195.0,27008.31024930748
32691,2,Apartment,659,Andheri West,Under Construction,New,219.0,33232.16995447648
32694,2,Apartment,659,Andheri West,Under Construction,New,225.99999999999997,34294.38543247344
